"Location","bed_State/Local Government","bed_Non-Profit","bed_For-Profit","bed_Total"
"Alabama","1.42","0.81","0.87","3.11"
"Alaska","0.29","1.55","0.36","2.2"
"Arizona","0.11","1.36","0.47","1.93"
"Arkansas","0.26","2.14","0.63","3.03"
"California","0.33","1.21","0.32","1.85"
"Colorado","0.38","1.1","0.38","1.85"
"Connecticut","0.05","1.93","0","2.03"
"Delaware","N/A","2.13","0.04","2.17"
"District of Columbia","N/A","3.53","0.98","4.51"
"Florida","0.41","1.34","0.85","2.59"
"Georgia","0.21","1.9","0.24","2.34"
"Hawaii","0.21","1.72","N/A","1.93"
"Idaho","0.46","1.06","0.42","1.94"
"Illinois","0.12","2.22","0.13","2.47"
"Indiana","0.4","1.93","0.38","2.71"
"Iowa","0.9","2.04","0.06","3"
"Kansas","1.07","1.39","0.81","3.28"
"Kentucky","0.39","2.38","0.4","3.17"
"Louisiana","0.74","1.8","0.73","3.28"
"Maine","0.06","2.47","0.07","2.59"
"Maryland","N/A","1.79","0.01","1.8"
"Massachusetts","0.05","1.84","0.37","2.26"
"Michigan","0.07","2.23","0.26","2.56"
"Minnesota","0.34","2.13","N/A","2.46"
"Mississippi","1.64","1.23","0.79","3.66"
"Missouri","0.43","2.18","0.4","3.01"
"Montana","0.12","3.04","0.22","3.38"
"Nebraska","N/A","2.99","0.13","3.12"
"Nevada","0.21","0.58","1.26","2.05"
"New Hampshire","N/A","1.67","0.39","2.06"
"New Jersey","N/A","2.07","0.22","2.29"
"New Mexico","0.36","0.75","0.69","1.8"
"New York","0.46","2.22","N/A","2.68"
"North Carolina","0.63","1.31","0.13","2.07"
"North Dakota","N/A","4.27","0.09","4.36"
"Ohio","0.26","2.38","0.21","2.85"
"Oklahoma","0.54","1.55","0.77","2.86"
"Oregon","0.22","1.38","0.06","1.65"
"Pennsylvania","0","2.49","0.28","2.77"
"Rhode Island","N/A","2.07","N/A","2.07"
"South Carolina","0.76","1.06","0.53","2.34"
"South Dakota","0.24","4.3","0.23","4.77"
"Tennessee","0.49","1.44","0.76","2.69"
"Texas","0.32","0.97","0.96","2.25"
"Utah","0.26","0.95","0.55","1.77"
"Vermont","N/A","2.04","N/A","2.04"
"Virginia","0.2","1.5","0.42","2.13"
"Washington","0.38","1.18","0.1","1.66"
"West Virginia","0.24","2.78","0.54","3.56"
"Wisconsin","0","1.96","0.08","2.04"
"Wyoming","2.54","0.54","0.36","3.44"
