,date_implement,policy,metric_change,metric_value,state
0,2020-03-13,C1_School closing,1.0,1.0,Alaska
1,2020-03-16,C1_School closing,2.0,3.0,Alaska
2,2020-03-12,C2_Workplace closing,1.0,1.0,Alaska
3,2020-03-16,C2_Workplace closing,1.0,2.0,Alaska
4,2020-03-22,C2_Workplace closing,1.0,3.0,Alaska
5,2020-08-03,C2_Workplace closing,1.0,2.0,Alaska
6,2020-12-01,C2_Workplace closing,1.0,2.0,Alaska
7,2020-04-24,C2_Workplace closing,-1.0,2.0,Alaska
8,2020-05-08,C2_Workplace closing,-1.0,1.0,Alaska
9,2020-08-31,C2_Workplace closing,-1.0,1.0,Alaska
10,2020-03-13,C3_Cancel public events,1.0,1.0,Alaska
11,2020-03-17,C3_Cancel public events,1.0,2.0,Alaska
12,2020-12-01,C3_Cancel public events,1.0,2.0,Alaska
13,2020-05-08,C3_Cancel public events,-1.0,1.0,Alaska
14,2020-03-16,C4_Restrictions on gatherings,3.0,3.0,Alaska
15,2020-03-21,C4_Restrictions on gatherings,1.0,4.0,Alaska
16,2020-07-24,C4_Restrictions on gatherings,1.0,3.0,Alaska
17,2020-12-01,C4_Restrictions on gatherings,1.0,4.0,Alaska
18,2020-04-24,C4_Restrictions on gatherings,-1.0,3.0,Alaska
19,2020-05-29,C4_Restrictions on gatherings,-1.0,2.0,Alaska
20,2020-03-18,C5_Close public transport,1.0,1.0,Alaska
21,2020-04-03,C5_Close public transport,1.0,2.0,Alaska
22,2020-06-01,C5_Close public transport,-2.0,0.0,Alaska
23,2020-03-22,C6_Stay at home requirements,2.0,2.0,Alaska
24,2020-04-24,C6_Stay at home requirements,-1.0,1.0,Alaska
25,2020-03-16,C7_Restrictions on internal movement,1.0,1.0,Alaska
26,2020-03-28,C7_Restrictions on internal movement,1.0,2.0,Alaska
27,2020-05-12,C7_Restrictions on internal movement,1.0,2.0,Alaska
28,2020-07-15,C7_Restrictions on internal movement,1.0,2.0,Alaska
29,2020-04-24,C7_Restrictions on internal movement,-1.0,1.0,Alaska
30,2020-06-05,C7_Restrictions on internal movement,-1.0,1.0,Alaska
31,2020-03-02,C8_International travel controls,3.0,3.0,Alaska
32,2020-01-08,H1_Public information campaigns,1.0,1.0,Alaska
33,2020-02-07,H1_Public information campaigns,1.0,2.0,Alaska
34,2020-01-21,H2_Testing policy,1.0,1.0,Alaska
35,2020-04-09,H2_Testing policy,1.0,2.0,Alaska
36,2020-08-19,H2_Testing policy,1.0,3.0,Alaska
37,2020-01-21,H3_Contact tracing,1.0,1.0,Alaska
38,2020-03-12,H3_Contact tracing,1.0,2.0,Alaska
39,2020-08-22,H3_Contact tracing,1.0,2.0,Alaska
40,2020-07-03,H3_Contact tracing,-1.0,1.0,Alaska
41,2020-10-25,H3_Contact tracing,-1.0,1.0,Alaska
42,2020-04-04,H6_Facial Coverings,1.0,1.0,Alaska
43,2020-06-29,H6_Facial Coverings,2.0,3.0,Alaska
44,2020-12-15,H7_Vaccination policy,1.0,1.0,Alaska
45,2020-12-18,H7_Vaccination policy,1.0,2.0,Alaska
0,2020-03-13,C1_School closing,1.0,1.0,Alabama
1,2020-03-19,C1_School closing,1.0,2.0,Alabama
2,2020-03-20,C1_School closing,1.0,3.0,Alabama
3,2020-08-16,C1_School closing,-1.0,2.0,Alabama
4,2020-03-12,C2_Workplace closing,1.0,1.0,Alabama
5,2020-03-17,C2_Workplace closing,1.0,2.0,Alabama
6,2020-03-20,C2_Workplace closing,1.0,3.0,Alabama
7,2020-08-24,C2_Workplace closing,1.0,2.0,Alabama
8,2020-04-30,C2_Workplace closing,-1.0,2.0,Alabama
9,2020-06-07,C2_Workplace closing,-1.0,1.0,Alabama
10,2020-09-08,C2_Workplace closing,-1.0,1.0,Alabama
11,2020-03-13,C3_Cancel public events,1.0,1.0,Alabama
12,2020-03-17,C3_Cancel public events,1.0,2.0,Alabama
13,2020-06-06,C3_Cancel public events,-1.0,1.0,Alabama
14,2020-03-17,C4_Restrictions on gatherings,3.0,3.0,Alabama
15,2020-03-19,C4_Restrictions on gatherings,1.0,4.0,Alabama
16,2020-05-21,C4_Restrictions on gatherings,-4.0,0.0,Alabama
17,2020-03-24,C5_Close public transport,1.0,1.0,Alabama
18,2020-08-28,C5_Close public transport,-1.0,0.0,Alabama
19,2020-03-24,C6_Stay at home requirements,2.0,2.0,Alabama
20,2020-06-20,C6_Stay at home requirements,-1.0,1.0,Alabama
21,2020-03-16,C7_Restrictions on internal movement,1.0,1.0,Alabama
22,2020-03-02,C8_International travel controls,3.0,3.0,Alabama
23,2020-03-10,H1_Public information campaigns,2.0,2.0,Alabama
24,2020-01-21,H2_Testing policy,1.0,1.0,Alabama
25,2020-06-05,H2_Testing policy,1.0,3.0,Alabama
26,2020-03-02,H2_Testing policy,-1.0,0.0,Alabama
27,2020-03-06,H2_Testing policy,2.0,2.0,Alabama
