,submission_date,state,new_case,caseInterpolate_MA7,caseInterpolate_savitzky31_3,caseInterpolate_gauss8,caseInterpolate_gauss3
3245,2020-01-22,UT,0,,0.0,0,0
2961,2020-01-23,UT,0,,0.0,0,0
5068,2020-01-24,UT,0,,0.0,0,0
518,2020-01-25,UT,0,,0.0,0,0
4498,2020-01-26,UT,0,,0.0,0,0
4794,2020-01-27,UT,0,,0.0,0,0
1695,2020-01-28,UT,0,0.0,0.0,0,0
33421,2020-01-29,UT,0,0.0,0.0,0,0
3771,2020-01-30,UT,0,0.0,0.0,0,0
2219,2020-01-31,UT,0,0.0,0.0,0,0
368,2020-02-01,UT,0,0.0,0.0,0,0
3101,2020-02-02,UT,0,0.0,0.0,0,0
883,2020-02-03,UT,0,0.0,0.0,0,0
36219,2020-02-04,UT,0,0.0,0.0,0,0
2604,2020-02-05,UT,0,0.0,0.0,0,0
4142,2020-02-06,UT,0,0.0,0.0,0,0
3604,2020-02-07,UT,0,0.0,0.0,0,0
34252,2020-02-08,UT,0,0.0,0.0,0,0
444,2020-02-09,UT,0,0.0,-0.07991120976692558,0,0
2540,2020-02-10,UT,0,0.0,-0.06326304106548271,0,0
1730,2020-02-11,UT,0,0.0,-0.047294389453894706,0,0
3965,2020-02-12,UT,0,0.0,-0.03200525493216149,0,0
34891,2020-02-13,UT,0,0.0,-0.17721805703413426,0,0
35621,2020-02-14,UT,0,0.0,-0.12999161928922492,0,0
1816,2020-02-15,UT,0,0.0,-0.1647149425808057,0,0
34096,2020-02-16,UT,0,0.0,-0.10491743867358244,0,0
36946,2020-02-17,UT,0,0.0,-0.04783800312577853,0,0
35350,2020-02-18,UT,0,0.0,0.006523364062606257,0,0
32626,2020-02-19,UT,0,0.0,-0.6077600851661413,0,0
37369,2020-02-20,UT,0,0.0,-0.952841513964075,0,0
36378,2020-02-21,UT,0,0.0,-1.4084124215724008,0,0
32649,2020-02-22,UT,0,0.0,-1.5616888264739837,0,0
34124,2020-02-23,UT,0,0.0,-2.144873043557043,0,0
5385,2020-02-24,UT,0,0.0,-1.400462071621099,0,0
4537,2020-02-25,UT,0,0.0,-1.781920315295927,0,0
32741,2020-02-26,UT,0,0.0,-3.4879159210854107,0,0
1078,2020-02-27,UT,0,0.0,-2.0826745792656647,0,0
32639,2020-02-28,UT,0,0.0,-2.367528143332801,0,0
5211,2020-02-29,UT,0,0.0,-6.907404471222442,0,0
1520,2020-03-01,UT,0,0.0,-9.258850710095345,1,0
372,2020-03-02,UT,0,0.0,-5.497497112052357,1,0
33490,2020-03-03,UT,0,0.0,-7.718340166255169,1,0
5353,2020-03-04,UT,0,0.0,-9.677206731749287,2,0
4852,2020-03-05,UT,0,0.0,-15.124917891684955,2,0
32243,2020-03-06,UT,0,0.0,-7.302770164669619,3,0
35514,2020-03-07,UT,0,0.0,-8.513669618790894,4,0
33966,2020-03-08,UT,1,0.14285714285714285,-8.856395388343994,5,0
2819,2020-03-09,UT,0,0.14285714285714285,-9.886248839158277,7,0
34652,2020-03-10,UT,1,0.2857142857142857,-7.476273528279206,8,1
2789,2020-03-11,UT,1,0.42857142857142855,-18.384674624566767,10,2
642,2020-03-12,UT,1,0.5714285714285714,-9.073048087159346,12,2
34234,2020-03-13,UT,2,0.8571428571428571,-21.030578269043414,15,4
36189,2020-03-14,UT,0,0.8571428571428571,-14.180162631090106,17,5
4661,2020-03-15,UT,15,2.857142857142857,-8.324605313823588,21,8
4194,2020-03-16,UT,8,4.0,21.3320120501031,24,11
2040,2020-03-17,UT,0,3.857142857142857,30.07182495639768,28,15
35857,2020-03-18,UT,11,5.285714285714286,27.517474914494144,32,19
36400,2020-03-19,UT,28,9.142857142857142,48.918503250356785,36,25
5155,2020-03-20,UT,34,13.714285714285714,70.63065981109428,41,31
4732,2020-03-21,UT,23,17.0,88.19069514598291,45,38
105,2020-03-22,UT,44,21.142857142857142,106.69263176968903,50,44
