,date_implement,policy,metric_change,state
0,2021-01-19,C1_School closing,-1.0,Alaska
1,2021-07-10,C2_Workplace closing,-1.0,Alaska
2,2021-08-05,C2_Workplace closing,1.0,Alaska
3,2021-03-08,C3_Cancel public events,-1.0,Alaska
4,2021-03-08,C4_Restrictions on gatherings,-1.0,Alaska
5,2021-11-22,C6_Stay at home requirements,-1.0,Alaska
6,2021-04-26,C7_Restrictions on internal movement,-1.0,Alaska
7,2021-11-08,C8_International travel controls,-2.0,Alaska
8,2021-11-22,H6_Facial Coverings,-1.0,Alaska
9,2021-02-11,H7_Vaccination policy,1.0,Alaska
10,2021-03-09,H7_Vaccination policy,2.0,Alaska
0,2021-04-05,C1_School closing,-1.0,Alabama
1,2021-09-27,C1_School closing,1.0,Alabama
2,2021-04-21,C2_Workplace closing,-1.0,Alabama
3,2021-08-15,C3_Cancel public events,-1.0,Alabama
4,2021-01-18,C5_Close public transport,1.0,Alabama
5,2021-03-22,C5_Close public transport,-1.0,Alabama
6,2021-04-09,C6_Stay at home requirements,-1.0,Alabama
7,2021-11-08,C8_International travel controls,-2.0,Alabama
8,2021-02-01,H2_Testing policy,-1.0,Alabama
9,2021-07-19,H2_Testing policy,1.0,Alabama
10,2021-04-09,H6_Facial Coverings,-1.0,Alabama
11,2021-09-17,H6_Facial Coverings,1.0,Alabama
12,2021-03-22,H7_Vaccination policy,1.0,Alabama
0,2021-02-28,C1_School closing,-1.0,Arkansas
1,2021-09-07,C1_School closing,1.0,Arkansas
2,2021-02-16,C2_Workplace closing,-1.0,Arkansas
3,2021-09-14,C3_Cancel public events,-1.0,Arkansas
4,2021-01-02,C4_Restrictions on gatherings,3.0,Arkansas
5,2021-02-26,C4_Restrictions on gatherings,-4.0,Arkansas
6,2021-07-28,C5_Close public transport,-1.0,Arkansas
7,2021-04-02,C6_Stay at home requirements,-1.0,Arkansas
8,2021-11-08,C8_International travel controls,-2.0,Arkansas
9,2021-01-05,H2_Testing policy,1.0,Arkansas
10,2021-07-28,H3_Contact tracing,-1.0,Arkansas
11,2021-04-01,H6_Facial Coverings,-1.0,Arkansas
12,2021-01-18,H7_Vaccination policy,1.0,Arkansas
13,2021-03-30,H7_Vaccination policy,2.0,Arkansas
0,2021-03-15,C1_School closing,-1.0,Arizona
1,2021-01-05,C2_Workplace closing,1.0,Arizona
2,2021-03-05,C2_Workplace closing,-1.0,Arizona
3,2021-03-09,C3_Cancel public events,-1.0,Arizona
4,2021-04-06,C4_Restrictions on gatherings,-3.0,Arizona
5,2021-04-02,C6_Stay at home requirements,-1.0,Arizona
