,stateName,CEN_stateCode,CEN_Bachelor's Degree or Higher,CEN_Employment Rate,CEN_Hispanic or Latino (of any race),CEN_Median Household Income,CEN_Total Employer Establishments,CEN_Total Households,CEN_Total Housing Units,CEN_Total Population,CEN_Unnamed: 0,CEN_Unnamed: 0.1,CEN_Without Health Care Coverage,CP_0_diff,CP_1_diff,CP_2_diff,FD_adminAndFireResponse,FD_fireResponseOnly,FD_lessThan10kCitizens,FD_moreThan10kCitizens,FD_totalFireDepartments,HB_bed_For-Profit,HB_bed_Non-Profit,HB_bed_State/Local Government,HB_bed_Total,OB_Prevalence,S1_people_fully_vaccinated,S1_people_fully_vaccinated_per_hundred,S1_people_vaccinated,S1_people_vaccinated_per_hundred,S2_people_fully_vaccinated,S2_people_fully_vaccinated_per_hundred,S2_people_vaccinated,S2_people_vaccinated_per_hundred,S3_people_fully_vaccinated,S3_people_fully_vaccinated_per_hundred,S3_people_vaccinated,S3_people_vaccinated_per_hundred,S4_people_fully_vaccinated,S4_people_fully_vaccinated_per_hundred,S4_people_vaccinated,S4_people_vaccinated_per_hundred,SP_Governor Political Affiliation,SP_State Attorney General Political Affiliation,SP_State House Majority Political Affiliation,SP_State Senate Majority Political Affiliation
0,Alabama,AL,26.3,54.7,264047,51734,100731,1897576,2288330,5024279,0,0.0,9.7,222,387,625,783,20,803,87,890,0.87,0.81,1.42,3.11,39.0,219639.0,4.48,567505.0,11.57,1334176.0,27.21,1687875.0,34.42,1802279.0,36.76,2368289.0,48.3,2243092.0,45.75,2740397.0,55.89,0,0,0,0
1,Alaska,AK,30.2,59.3,49824,75463,21399,252199,326200,733391,1,0.0,12.2,230,353,655,181,0,181,8,189,0.36,1.55,0.29,2.2,31.9,57117.0,7.81,126381.0,17.28,268405.0,36.69,312535.0,42.72,335664.0,45.88,381619.0,52.17,391118.0,53.46,446329.0,61.01,0,0,0,0
2,Arizona,AZ,30.2,56.8,2192253,62055,147163,2670441,3082000,7151502,2,0.0,11.3,206,393,624,151,2,153,65,218,0.47,1.36,0.11,1.93,30.9,407127.0,5.59,1110854.0,15.26,2457180.0,33.76,3197814.0,43.93,3434438.0,47.18,4069535.0,55.91,3899480.0,53.57,4496639.0,61.78,0,0,0,0
3,Arkansas,AR,23.3,55.2,256847,48952,67243,1163647,1365265,3011524,3,0.0,9.1,227,391,610,672,20,692,56,748,0.63,2.14,0.26,3.03,36.4,130637.0,4.33,338611.0,11.22,914312.0,30.3,1168568.0,38.72,1211140.0,40.13,1573166.0,52.13,1471272.0,48.75,1788415.0,59.26,0,0,0,0
4,California,CA,35.0,60.3,15579652,80440,966224,13157873,14392140,39538223,4,0.0,7.7,220,387,620,410,74,484,311,795,0.32,1.21,0.33,1.85,30.3,727993.0,1.84,3389906.0,8.58,16311760.0,41.28,21818408.0,55.22,21262872.0,53.81,26194546.0,66.29,24656243.0,62.4,30410779.0,76.97,1,1,1,1
5,Colorado,CO,42.7,65.3,1263390,77127,174258,2235103,2491404,5773714,5,0.0,8.0,225,346,697,230,2,232,74,306,0.38,1.1,0.38,1.85,24.2,322769.0,5.6,724699.0,12.58,2504451.0,43.49,3027641.0,52.57,3157207.0,54.82,3507478.0,60.91,3592795.0,62.39,3981754.0,69.14,1,1,1,1
6,Connecticut,CT,39.8,62.3,623293,78833,88916,1377166,1530197,3605944,6,0.0,5.9,127,394,624,151,51,202,103,305,0.0,1.93,0.05,2.03,29.2,154639.0,4.34,437058.0,12.26,1757184.0,49.29,2135973.0,59.91,2309829.0,64.79,2572523.0,72.15,2531532.0,71.0,2843906.0,79.77,1,1,1,1
7,Delaware,DE,33.2,58.8,104290,70176,26142,376239,448735,989948,7,0.0,6.6,139,366,650,37,0,37,24,61,0.04,2.13,0.0,2.17,36.5,51176.0,5.26,133489.0,13.71,372385.0,38.24,485440.0,49.85,524770.0,53.89,608891.0,62.53,589332.0,60.52,683781.0,70.22,1,1,1,1
8,District of Columbia,DC,59.7,66.0,77652,92266,23993,291570,350364,689545,8,0.0,3.5,143,395,643,0,0,0,1,1,0.98,3.53,0.0,4.51,24.3,31845.0,4.51,72181.0,10.23,286901.0,40.65,381520.0,54.06,396271.0,56.15,463601.0,65.69,445095.0,63.07,536901.0,76.08,1,1,3,1
9,Florida,FL,30.7,56.2,5697240,59227,574512,7905832,9865350,21538187,9,0.0,13.2,119,392,613,219,117,336,192,528,0.85,1.34,0.41,2.59,28.4,1231696.0,5.73,2562863.0,11.93,7018269.0,32.68,9460421.0,44.05,10842793.0,50.48,13174939.0,61.34,12904395.0,60.08,14933856.0,69.53,0,0,0,0
10,Georgia,GA,32.5,59.6,1123457,61980,239034,3852714,4410956,10711908,10,0.0,13.4,225,394,624,467,47,514,137,651,0.24,1.9,0.21,2.34,34.3,527556.0,4.97,1158554.0,10.91,3236398.0,30.48,4093508.0,38.55,4185186.0,39.42,5106743.0,48.1,5178787.0,48.78,6107299.0,57.52,0,0,0,0
